Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,0.337559,0.397135,0.328290,0.392987,0.392987,10123343703
2021-05-02,0.391087,0.400029,0.364874,0.376046,0.376046,8040406918
2021-05-03,0.373631,0.445567,0.373631,0.441707,0.441707,10526649978
2021-05-04,0.440274,0.605998,0.400800,0.541334,0.541334,38238126181
2021-05-05,0.537355,0.695262,0.523822,0.657633,0.657633,42525098292
2021-05-06,0.652842,0.663616,0.545102,0.580804,0.580804,18989900291
2021-05-07,0.581110,0.731972,0.520174,0.684777,0.684777,28615083657
2021-05-08,0.687801,0.737567,0.608168,0.636439,0.636439,25555125135
2021-05-09,0.635820,0.697625,0.425706,0.570070,0.570070,46138063928
2021-05-10,0.569687,0.569687,0.421291,0.449964,0.449964,16514521828
2021-05-11,0.450488,0.546651,0.445034,0.495231,0.495231,14566975476
2021-05-12,0.493742,0.519975,0.385376,0.385376,0.385376,8621337859
2021-05-13,0.392176,0.519461,0.357175,0.490374,0.490374,18663174069
2021-05-14,0.487070,0.589690,0.464622,0.559604,0.559604,20466177002
2021-05-15,0.559668,0.562676,0.491299,0.507972,0.507972,9836892944
2021-05-16,0.507910,0.548145,0.451023,0.514895,0.514895,9541552064
2021-05-17,0.513413,0.515221,0.458551,0.487892,0.487892,7330830504
2021-05-18,0.486954,0.515599,0.470384,0.476115,0.476115,4802902841
2021-05-19,0.476435,0.684735,0.218267,0.333123,0.333123,15072620946
2021-05-20,0.330252,0.433192,0.296253,0.400194,0.400194,12415484460
2021-05-21,0.403403,0.411975,0.315948,0.338473,0.338473,7034119680
